AccountID,Fraudster
C3393649433,0
C0855769514,0
C3140924771,0
C5919965464,0
C1039024463,0
C9034379545,0
C5146739318,0
C9313600096,0
C9758821163,0
C3573460445,0
C0892113128,0
C0362992475,0
C5187588982,0
C6375725061,0
C1584131027,0
C1451557696,0
C9918152505,0
C8526346849,0
C5439403732,0
C0755336579,0
C1298601878,0
C8034758605,0
C7582023658,0
C6340643908,1
C4612103683,1
C1742652503,0
C2644953545,0
C6138362254,0
C1872190688,0
C0780682993,0
C3139730801,0
C7073032556,0
C5075944934,0
C5874326239,0
C1828978296,0
C1237361980,0
C1257777720,0
C6161581633,0
C3295941922,0
C0527099302,0
C2381198752,0
C7407866204,0
C1834671619,0
C2090778451,0
C7555494054,0
C6074364284,0
C7744674064,0
C0086428839,0
C0950293479,0
C2638708947,0
C0518230606,0
C5723577969,0
C0019648832,0
C3946807893,0
C5534160347,0
C6021365770,0
C4160181307,0
C1243693789,0
C2858646888,0
C8267067462,0
C9192604789,0
C5421120073,0
C5528209428,0
C1609210682,0
C5871595113,0
C6792882997,0
C5051834626,0
C4042510940,0
C3694087788,0
C1611425708,0
C5010034337,0
C9228322075,0
C9429815024,0
C2724968520,0
C0827052884,0
C8496983557,0
C5404516196,0
C3113276357,0
C2891855304,0
C0099339659,0
C2027120322,0
C2590929904,0
C7504549169,0
C1822808075,0
C4635883926,0
C8215648611,0
C6553870347,0
C6462227170,0
C4833760590,0
C8429237032,1
C4460581766,0
C2210751743,0
C1925121167,0
C3417644608,0
C2884966844,0
C2049013434,0
C2169542048,0
C8850597845,0
C1660981284,0
C6065722779,0
C9016890262,0
C6331986651,0
C7117646226,0
C2000964269,0
C6872285034,0
C6718791388,0
C3864220589,1
C5722938805,0
C5683158590,0
C9946029367,0
C9440288172,0
C4939669092,0
C8195865333,0
C3373182569,0
C3184479036,0
C5334133947,0
C6254533249,0
C3937927690,0
C0675756845,0
C1089783933,1
C3623177178,0
C0224622350,0
C3582198070,0
C6959297075,0
C9753764446,0
C0432569454,1
C2394896505,0
C4126520156,0
C4436427741,0
C8037188243,0
C5763188314,1
C9274927289,0
C4184040235,0
C6491398060,1
C7209364567,1
C2067007631,0
C7690854793,0
C3021676683,0
C8966257364,0
C4771180300,0
C0360951935,0
C6636508966,0
C6845343500,0
C1414200159,0
C5361222518,0
C1085287034,0
C0855226039,0
C1590206959,0
C2362674921,0
C8494020583,0
C7986825474,0
C8574342310,0
C9695208365,0
C4711350904,0
C9720983513,0
C5858554563,0
C9575711956,0
C5742104884,0
C4416188605,0
C6906128614,0
C0673532430,0
C6415043314,1
C1444192629,0
C3578528360,0
C6960391371,0
C5402508170,0
C0417298756,0
C2335796130,0
C6571780809,0
C9033467330,0
C0597642551,0
C0315067014,0
C8776140630,0
C2974961671,0
C4662872229,0
C8512945567,0
C3917701557,0
C5657771247,0
C2499484784,0
C3715514835,0
C7429962190,0
C7550451821,0
C6032830533,0
C2249984558,0
C6708675473,0
C5897283746,1
C2674912714,0
C2641510787,0
C3486457750,0
C4454974845,0
C4239783975,0
C7278297304,0
C5596901708,0
C7183885308,0
C0760880413,0
C2919731379,0
C0792206061,0
C1898895076,0
C0978684936,0
C3830188461,0
C0651085899,0
C9276054342,0
C1186637045,1
C1367915534,1
C4191078732,1
C8688485887,1
C0621783012,0
C7327274887,0
C1597002098,0
C8638402704,0
C2576217895,0
C7263963721,0
C4793818969,0
C1640285723,0
C4066344751,0
C5772893351,0
C0499992042,0
C0560675570,0
C3779604576,0
C3671081304,0
C9354934494,0
C8373796887,0
C0321844056,0
C3185108600,0
C6670278005,0
C7538938499,0
C5775605372,0
C6819165535,0
C5134247128,0
C3694205567,0
C6503425187,0
C3535217144,0
C7849617330,0
C8134907902,0
C1636067336,0
C0731220401,0
C0009173409,0
C4286907175,0
C5095882799,0
C8151603270,0
C6614579112,0
C2257783440,0
C4466920269,0
C7842562756,0
C0151956978,0
C0734844145,0
C6357860877,0
C6122869080,0
C6512500694,0
C0966968189,0
C4757792026,0
C1596295548,0
C3642783675,0
C4570927834,0
C0187175230,0
C7899022057,1
C1492097456,0
C2142668822,0
C1720922189,0
C0522697924,0
C3556624463,0
C5711149265,0
C1227822502,0
C3051494449,0
C4877288361,0
C7476159170,0
C8110425477,0
C8406896171,0
C7316954394,0
C0113703728,0
C5952580356,0
C3982895060,0
C2779182531,0
C2596416807,0
C9582588863,0
C2216760134,0
C1576714783,0
C6206354758,0
C4852676577,0
C1827953286,0
C8549595315,0
C8687938818,0
C9593344060,0
C9043240454,0
C3168569032,0
C9352209024,0
C0422888697,0
C1619417971,0
C5702163745,0
C9241216909,0
C0884787798,0
C9242440973,0
C1835572298,0
C0996988525,0
C9215273172,0
C4451095063,0
C0943052114,0
C3254454192,0
C9473344512,0
C3653783088,0
C1640194905,0
C9986476934,1
C8865519153,0
C8444508312,0
C9450734482,0
C1402172998,0
C3802568614,0
C4525256304,0
C1352020226,0
C5890349502,0
C2975855146,0
C3029627241,0
C1790518712,0
C9265604563,0
C1505010323,0
C4292789981,0
C2303368693,0
C3246668093,0
C6480993115,0
C8120986316,0
C5618380022,0
C9020951579,1
C2867725616,0
C3944951218,0
C0232702600,0
C8650991622,1
C1470475829,0
C7117803636,1
C5267929350,0
C6798250113,0
C5699386538,0
C4197989725,0
C9096347569,0
C1206485593,0
C4458928190,0
C6183571406,0
C3417545226,0
C2600739967,0
C3336789009,0
C2830617407,0
C3734619461,0
C4900935041,0
C3112284818,0
C1787724665,1
C8180643775,0
C6188694714,0
C3735736133,0
C1772820585,0
C7768577970,0
C6173724115,1
C4545427588,0
C2186489605,0
C8805680278,0
C2725413861,1
C3839784629,0
C4429770803,0
C4106940602,0
C4660072676,0
C9618659563,0
C2282249069,0
C6050727301,0
C2714124321,0
C8827364396,0
C0265755016,0
C3577067272,0
C4517973534,0
C7730892920,0
C5714220083,0
C0783750987,0
C9143716363,0
C8699432817,0
C0931411092,0
C9227115074,0
C7816033054,0
C7275260026,0
C6300475889,1
C0748851481,0
C6719102164,0
C4117884122,0
C3571706296,0
C5255802936,0
C6624328092,0
C9601452052,0
C0691111873,0
C0228907351,0
C3236389175,0
C1351302318,0
C2551309972,0
C3908756990,0
C7431724683,0
C7619961399,0
C7331929120,0
C1935200888,0
C3705311006,0
C2709882507,0
C4106333181,0
C6536677174,0
C6477726001,0
C3322530414,0
C5773578452,0
C2906688355,0
C7602367970,0
C5973970964,0
C2132500327,0
C6835619600,0
C5889615986,0
C0500540883,0
C7961105006,0
C7381585030,1
C4946024266,0
C1794444491,0
C3610840096,0
C4266050493,0
C4697427027,0
C4215918877,0
C9841233996,0
C2233915702,0
C2555270218,0
C6303480834,1
C1100478710,0
C8052897848,0
C4593814723,0
C6561438296,0
C1077574606,0
C2016619171,0
C7735228240,1
C3873731633,0
C7850244964,0
C2267097115,0
C9620253829,0
C5354038582,0
C3711659022,0
C6948357397,0
C2084529512,0
C0812983491,0
C5730271706,0
C3658558866,0
C4631917026,0
C9282373214,0
C5651335218,0
C2022465245,0
C4466769899,0
C6240574299,0
C3503235103,0
C7389139526,0
C2364290908,0
C5908102276,0
C2220161953,0
C7975857546,0
C3451273727,0
C9917792407,0
C3490417818,0
C5214471458,0
C7616756265,0
C1962981659,0
C7749078242,0
C2577136761,0
C6429948770,0
C3642052817,0
C3794086222,0
C2836568583,0
C4627519249,0
C7428558841,0
C7438858723,0
C5634489123,0
C1359205936,0
C1961258661,0
C7205545332,0
C3726834806,0
C6021392968,0
C3650370431,0
C0546628494,1
C5005666994,0
C2876047454,0
C0630989234,0
C0579418375,0
C0996229837,0
C6077519656,0
C7519659517,0
C9125171741,0
C9134015118,0
C0818813160,0
C9253580974,0
C3376955217,0
C2636085138,0
C3775042118,1
C3435542612,0
C5882251567,0
C3997461886,0
C8992216932,0
C9943851841,0
C8858867246,0
C4520971184,0
C1471661203,0
C4159196000,0
C3931620766,0
C7800957292,0
C2095391096,0
C0036539958,0
C8734670421,0
C7751876337,0
C0144242024,0
C3314028150,0
C4569390642,0
C4108518219,0
C4848324892,0
C3684238781,0
C6560234092,0
C4094406085,0
C4842517333,0
C7029666503,0
C5290033547,0
C6483540551,0
C2045722338,0
C9965554019,0
C2237366363,0
C9819157540,0
C2704570302,0
C0734422900,0
C0607290494,0
C6375098267,0
C4518646265,0
C8941617334,0
C2604494706,0
C6543790393,0
C2148679165,0
C3046072782,0
C5144279789,0
C8089231810,0
C7189999579,0
C1679721687,0
C7927506710,0
C2616569452,0
C9256000625,0
C3926726194,0
C5718979342,0
C8360941907,0
C9018764132,0
C6629031339,0
C4678678430,0
C9778801196,0
C7934756006,0
C0905563869,0
C5781485587,0
C1874321659,0
C1091679478,0
C9203487582,0
C3869202230,0
C5040547038,0
C7258354069,0
C3269065166,0
C1659092455,0
C4262138367,0
C6102820843,0
C3792255464,0
C9545005551,0
C3843225696,0
C5038645508,0
C1654713214,0
C8687910199,0
C2650067693,0
C6200803219,0
C7705267814,0
C4912699362,0
C5502755095,0
C2093925961,0
C3619779247,0
C4594981515,0
C5234528694,0
C6535618669,0
C3759012001,0
C9401998408,1
C3109487740,0
C4389918338,0
C1369182905,0
C2383329981,0
C1710982590,0
C7980051387,0
C5131123230,0
C8442828044,0
C0267873641,1
C4669256213,0
C2413625773,0
C5385355848,0
C9118451509,0
C7483547688,0
C6163382486,0
C1261789994,0
C4201793417,0
C7225002037,0
C0135039976,0
C5955480385,0
C9239186774,0
C8008528819,0
C2784034700,0
C8075121758,0
C0541838386,0
C4974688321,0
C7188370062,0
C7330889439,1
C3570097599,0
C6853147645,0
C9354347728,0
C0046624820,0
C9467756147,0
C6984845465,0
C9346510647,0
C8294719689,1
C0363300236,1
C4085612161,0
C9918626641,0
C7230224773,0
C3899157877,1
C5482895864,0
C5044506291,0
C5944726096,0
C1692934454,0
C6381501794,0
C0908402261,0
C4072980573,0
C8201228403,0
C9613921168,0
C3626759170,0
C8509310488,0
C5842031798,0
C2303662016,0
C1738356080,0
C7394415214,0
C6469312980,0
C5570065077,0
C0171445436,0
C1405374126,0
C0811381389,0
C6931648506,0
C0180794896,0
C9306939817,0
C9842385812,0
C2802540553,0
C8883315745,0
C3183955853,0
C6570415614,0
C4339469059,1
C1531576037,0
C9675850224,0
C6056393938,0
C9378964482,0
C0730847974,0
C5891376553,0
C3999093916,0
C4462713500,0
C7098337173,0
C2582828580,0
C9608398372,0
C1742142182,0
C0753954898,0
C5997434751,0
C4246566102,0
C3005257874,0
C4761618733,0
C1751909643,0
C6573416450,0
C3027545701,1
C8339922226,0
C9062882342,0
C2354356249,0
C7669677211,0
C6389540726,0
C9135906550,0
C4135401989,0
C3837039663,0
C4233299632,0
C8142013113,0
C9438383284,0
C5181446242,0
C6106154217,0
C1185464568,0
C8951098245,0
C2248139639,0
C4180410224,0
C2237083769,0
C1071749762,0
C6165335889,0
C5512148544,0
C1901798484,0
C8070945889,0
C1581692273,0
C0972025526,0
C2639497359,0
C7316267740,0
C4744584257,0
C0265221281,0
C7570068770,0
C9291815319,0
C1621124775,0
C3235759371,0
C3301801667,0
C3236701383,0
C9305523410,0
C2938661584,0
C4657213954,0
C3761857236,0
C4709413083,0
C2240144866,0
C8890362485,0
C7238936075,1
C2296144293,0
C5010340913,0
C5080186060,0
C8368139150,0
C4723634596,0
C3954277153,0
C6237694857,0
C9818548088,0
C1097053967,0
C7759513564,0
C5909397673,0
C3623955212,0
C8251712164,0
C6965846778,0
C4949605032,0
C4146796568,0
C3535499446,0
C4858619030,0
C1207720691,0
C2888354706,1
C2638559339,0
C5968982258,1
C2352418964,0
C3060516546,0
C9563683299,0
C0312991455,0
C2140382349,0
C3896392910,0
C4411948562,0
C1217954599,0
C7589300121,0
C5075490737,0
C4994367082,0
C0634482354,0
C2480189934,0
C1396501566,0
C5446781655,0
C6074140515,0
C2007930008,0
C0448026845,0
C9746260630,0
C5147065454,0
C5272663853,0
C0829384108,0
C0072019974,0
C4402751821,0
C6512761976,0
C4012438572,0
C0174933965,0
C6234135517,0
C4051620974,0
C6658051999,0
C2840829852,0
C6243949775,0
C4474056901,0
C2800002305,1
C9940722441,0
C6305200930,0
C6071942662,0
C2139043084,0
C1060460335,0
C4586250748,0
C0029952665,0
C0193931800,0
C4727514261,0
C7746978599,0
C6904447156,0
C5021979727,0
C1208697404,0
C1576052315,0
C1935403524,0
C0178468321,0
C4691046967,0
C4416818758,0
C0452946397,0
C1013756327,0
C2652647683,0
C3586136147,0
C5346973604,0
C8564648184,0
C8712432289,0
C1507934234,0
C7716042124,0
C1572790816,1
C2125888220,0
C8877459695,1
C6123775324,0
C6189973273,0
C5869350007,0
C2990912516,0
C7197477047,0
C3101348970,0
C6600020329,0
C8136388141,0
C1023192675,0
C6675417410,0
C2000589062,0
C8019014646,0
C7545725224,0
C6524994473,0
C8990957743,0
C7943044786,0
C2263045818,0
C8158145279,0
C5382203377,0
C0990793131,0
C0363282158,0
C5182695680,0
C1439454540,0
C1893382199,0
C8225339555,0
C4118777298,0
C1764149118,0
C1968370664,0
C9652151598,0
C5404656392,0
C6302872878,0
C2722431360,0
C7413746995,0
C4703296174,0
C8322732209,0
C9543370697,0
C4879470048,0
C2376706666,0
C1779219473,0
C3673786083,0
C6241562979,0
C6715377925,0
C8335603565,0
C0348970895,0
C2645154830,0
C5812540992,0
C8733845828,0
C4033869208,0
C6875462816,1
C1490742847,0
C4481331350,0
C7954989764,0
C2027780859,0
C1548787246,0
C6090764485,0
C1386552453,0
C7659360154,0
C5181320387,0
C7630989881,0
C8746730807,0
C1692593414,0
C3863137799,0
C8242884121,0
C7251666911,0
C8339735539,0
C2397018554,0
C0151608617,0
C2106413511,0
C5327652767,0
C5779058898,0
C8875218977,0
C0289337204,0
C2636487561,0
C9683828392,0
C8900805592,0
C4382397289,0
C2318162050,0
C2337187791,0
C2727441076,0
C3596612665,0
C0063304799,0
C6852445303,0
C3469761272,0
C4610014410,0
C4329838500,0
C6433086436,0
C6648118886,0
C7487064086,0
C9807638047,0
C8971541754,0
C4775968600,1
C3721386363,0
C5599534516,0
C5509673658,0
C8765161510,0
C1058880437,0
C3861569276,0
C6396774111,0
C5327946921,0
C1133501335,0
C6687859544,0
C0857247472,0
C1941931418,0
C8501463848,0
C4109819518,0
C8089424068,0
C0668801686,0
C8041798105,0
C6979801611,0
C7234647658,0
C2275410991,0
C0193318800,0
C6145840126,0
C3374014537,0
C9278555756,0
C5135425943,0
C0897583677,0
C6850896516,0
C3756047472,0
C3631745809,0
C3327451905,0
C0629334662,0
C4562106478,0
C0358469728,0
C4195439671,0
C5816424004,0
C9731943999,0
C3670358083,0
C7353503798,0
C9789864280,0
C7023177695,0
C8674206959,0
C0939706459,0
C7919358269,0
C3926305074,0
C7044553535,0
C2002083707,1
C1568959869,0
C5902390907,0
C4180979864,0
C3534917526,0
C1194212570,0
C6737534881,0
C5364107201,0
C9348003319,0
C9896217173,0
C5920492175,0
C2013713040,0
C6469906297,0
C8984657919,0
C9297700497,0
C0830066947,0
C2577018595,0
C4009383787,0
C9509259523,0
C4922468720,0
C3536261562,0
C8422002993,0
C4015935758,0
C7861741978,0
C4423422116,0
C6103875150,0
C2277976599,0
C2051948376,0
C6540517373,0
C6184973043,0
C8946682198,1
C3563825158,0
C8003772958,0
C7009464982,0
C2015309379,0
C2636242986,0
C8910240160,0
C0412598421,0
C0611910338,0
C3638523607,0
C0381086299,0
C6031828438,0
C3956206695,0
C1802083654,0
C5606309926,0
C7623789993,0
C4389816829,1
C9427630319,0
C8879597341,0
C5401593523,0
C3597497316,0
C8337202185,0
C4366990003,0
C9766424166,0
C5077064622,0
C9373489808,0
C9969924860,0
C3872697618,0
C8587838667,0
C4990672784,1
C9552999171,0
C4430216983,0
C1301223722,0
C2607878953,0
C9943337335,0
C6088619093,0
C6000662605,0
C1455112237,0
C0960484161,0
C1333518076,0
C1396193085,0
C3366636580,0
C8201760010,0
C5095206330,0
C0840799185,0
C0066770314,0
C8236405623,0
C3004366404,0
C1781107230,0
C7719901420,0
C1163751154,0
C6035858262,0
C0592199723,1
C3167291961,0
C7146648262,0
C0672894649,0
C3587431530,0
C8828236763,0
C2853067019,0
C9895090975,0
C9795725510,0
C3494969345,0
C5891521819,0
C1553579660,0
C5713585834,0
C8165452412,0
C3780912709,0
C7551400741,0
C6515598196,0
C5229897335,0
C4111528814,0
C2588690963,0
C2187752301,1
C5399597455,0
C4138969225,0
C7706444792,0
C6326592884,0
C3406592272,0
C6208642226,1
C8569969942,0
C6100354545,0
C2668131765,0
